cartitem_id,user_id,product_id,quantity,added_date
115,79,326,2,2024-10-16T22:41:57.267041
116,14,383,2,2024-11-04T22:41:57.267045
117,57,143,3,2024-11-11T22:41:57.267050
118,7,343,1,2024-10-19T22:41:57.267055
119,17,259,3,2024-10-24T22:41:57.267060
120,32,147,1,2024-10-20T22:41:57.267064
121,38,321,3,2024-11-06T22:41:57.267069
123,58,109,3,2024-10-27T22:41:57.267078
124,81,241,1,2024-11-09T22:41:57.267083
125,95,339,2,2024-10-26T22:41:57.267088
126,76,280,1,2024-10-21T22:41:57.267100
127,15,353,2,2024-11-05T22:41:57.267105
128,8,165,1,2024-10-25T22:41:57.267110
129,95,230,3,2024-10-24T22:41:57.267117
132,57,277,2,2024-10-28T22:41:57.267134
134,91,386,3,2024-10-18T22:41:57.267149
135,7,276,3,2024-10-22T22:41:57.267163
136,94,281,1,2024-10-23T22:41:57.267169
137,78,318,1,2024-10-28T22:41:57.267173
139,51,285,1,2024-10-30T22:41:57.267183
140,85,149,2,2024-10-31T22:41:57.267187
143,49,104,1,2024-10-15T22:41:57.267202
144,56,110,2,2024-11-06T22:41:57.267206
147,6,156,3,2024-11-04T22:41:57.267220
148,62,103,3,2024-11-02T22:41:57.267225
149,35,131,3,2024-10-18T22:41:57.267229
150,29,363,2,2024-10-15T22:41:57.267237
151,83,341,2,2024-10-21T22:41:57.267245
157,23,213,1,2024-10-27T22:41:57.267279
158,61,308,2,2024-11-09T22:41:57.267283
160,54,176,1,2024-10-15T22:41:57.267293
161,61,306,3,2024-10-21T22:41:57.267298
163,74,279,3,2024-11-08T22:41:57.267307
165,54,253,3,2024-10-18T22:41:57.267316
168,35,198,2,2024-10-25T22:41:57.267330
170,14,366,1,2024-10-20T22:41:57.267339
171,16,241,3,2024-10-13T22:41:57.267344
172,32,125,2,2024-11-07T22:41:57.267349
173,24,218,1,2024-11-04T22:41:57.267353
174,86,180,1,2024-11-07T22:41:57.267359
176,80,272,1,2024-11-11T22:41:57.267368
177,69,379,3,2024-10-22T22:41:57.267374
179,35,326,3,2024-10-29T22:41:57.267384
182,57,215,1,2024-11-09T22:41:57.267398
183,65,155,1,2024-11-10T22:41:57.267402
184,14,300,1,2024-11-02T22:41:57.267409
187,3,253,1,2024-10-25T22:41:57.267430
189,6,110,1,2024-10-24T22:41:57.267444
190,23,336,2,2024-10-27T22:41:57.267451
192,55,197,2,2024-10-20T22:41:57.267466
193,39,252,2,2024-10-18T22:41:57.267474
194,22,323,2,2024-11-11T22:41:57.267481
197,65,356,1,2024-11-06T22:41:57.267504
198,10,252,3,2024-10-21T22:41:57.267512
199,44,125,1,2024-11-08T22:41:57.267520
200,34,295,1,2024-10-21T22:41:57.267528
